5;87;93;22;94;94;52;38;82;22;66;59;99
38;44;18;89;47;83;79;93;22;86;35;59;27
52;81;96;57;69;47;48;38;82;66;73;59;27
3;54;38;82;59;27;16;94;94;86;11;44;27
70;100;29;17;45;76;43;48;97;86;52;59;27
75;43;57;86;81;36;19;38;82;77;51;59;27
42;25;77;51;48;97;61;93;22;59;27;59;27
59;27;16;94;94;16;94;94;100;18;89;22;27
44;18;89;47;96;57;69;47;100;99;25;59;27
36;19;38;82;77;51;69;47;100;99;25;59;11
100;99;89;100;96;3;69;43;11;2;1;59;27
75;43;57;86;81;36;19;38;82;77;51;59;27
42;25;77;51;48;97;61;93;22;59;27;59;0
