0;84;86;86;91;87;89;98;88;87;91;82;100;96;86
96;0;85;76;78;80;77;86;75;86;79;75;100;86;79
72;68;0;68;73;65;60;65;78;73;65;64;100;72;71
100;84;94;0;95;97;87;95;83;93;94;89;95;83;87
100;84;91;87;0;92;87;89;79;81;80;80;96;90;87
99;86;84;91;93;0;78;96;84;88;85;83;100;91;79
95;68;64;75;78;87;0;77;77;78;100;64;84;73;66
100;80;79;75;89;86;75;0;87;84;86;82;98;100;86
86;83;91;80;76;80;85;83;0;84;83;87;87;95;100
100;82;81;76;80;77;79;85;79;0;81;75;91;78;76
97;81;87;93;93;82;100;95;84;84;0;76;83;85;77
100;89;91;82;87;88;87;98;87;90;85;0;99;99;93
90;73;100;75;72;71;61;82;63;67;73;69;0;85;81
94;64;59;55;65;59;62;75;81;58;63;56;100;0;66
87;74;79;67;75;70;72;72;100;64;71;79;86;77;0
